class,total,total_with_name,total_without_name,percent_with_name,,
building,166480,2288,164192,1.37433926,0.677103034,0.677103034
highway,45812,43999,1813,96.04252161,0.186325349,0.863428383
amenity,14150,6477,7673,45.77385159,0.057550504,0.920978887
leisure,5737,1307,4430,22.78194178,0.023333374,0.944312261
shop,3081,2855,226,92.66471925,0.012530961,0.956843223
place,2816,945,1871,33.55823864,0.01145316,0.968296383
man_made,2282,264,2018,11.5687993,0.00928129,0.977577673
tourism,1220,734,486,60.16393443,0.004961952,0.982539624
waterway,1152,1152,0,100,0.004685384,0.987225008
railway,814,814,0,100,0.003310679,0.990535687
landuse,740,731,9,98.78378378,0.003009708,0.993545396
historic,364,250,114,68.68131868,0.001480451,0.995025847
office,329,315,14,95.74468085,0.0013381,0.996363947
aeroway,284,153,131,53.87323944,0.001155077,0.997519024
natural,251,251,0,100,0.001020861,0.998539885
craft,104,104,0,100,0.000422986,0.998962871
emergency,101,28,73,27.72277228,0.000410785,0.999373655
boundary,67,67,0,100,0.000272501,0.999646156
military,47,36,11,76.59574468,0.000191157,0.999837313
club,25,22,3,88,0.000101679,0.999938992
aerialway,7,2,5,28.57142857,2.84702E-05,0.999967463
bridge,5,5,0,100,2.03359E-05,0.999987798
junction,2,2,0,100,8.13435E-06,0.999995933
tunnel,1,1,0,100,4.06717E-06,1